Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SGS01G02Z99,2017.06,102727,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
GFSA.SGS01G02Z99,2018.06,107757,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Total,,,,
GFSA.SGS01G03210,2009.06,17758,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03210,2010.06,18472,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03210,2011.06,19245,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03210,2012.06,19886,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03210,2013.06,20319,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03210,2014.06,20886,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03210,2015.06,21726,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03210,2016.06,22404,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03210,2017.06,23246,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03210,2018.06,24333,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Employee expenses,,,,
GFSA.SGS01G03220,2009.06,10693,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03220,2010.06,11041,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03220,2011.06,11654,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03220,2012.06,11923,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03220,2013.06,11827,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03220,2014.06,12341,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03220,2015.06,12698,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03220,2016.06,13399,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03220,2017.06,14242,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03220,2018.06,14462,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Purchases of goods and services,,,,
GFSA.SGS01G03240,2009.06,2627,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SGS01G03240,2010.06,2889,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SGS01G03240,2011.06,3744,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SGS01G03240,2012.06,4112,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SGS01G03240,2013.06,4315,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SGS01G03240,2014.06,4129,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SGS01G03240,2015.06,4332,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SGS01G03240,2016.06,4230,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SGS01G03240,2017.06,4267,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
GFSA.SGS01G03240,2018.06,4258,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Interest expense,,,,
