Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0101CCA,2017.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Primary Manufacturing,,
RNAA.SG01NAC34B0101CCC,2000.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2001.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2002.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2003.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2004.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2005.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2006.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2007.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2008.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2009.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2010.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2011.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2012.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2013.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2014.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2015.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2016.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCC,2017.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Other Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2000.03,410,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2001.03,464,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2002.03,506,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2003.03,490,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2004.03,491,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2005.03,611,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2006.03,797,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2007.03,843,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2008.03,726,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2009.03,860,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2010.03,516,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2011.03,622,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2012.03,634,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2013.03,561,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2014.03,584,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2015.03,789,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2016.03,963,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101CCZ,2017.03,792,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Manufacturing,,
RNAA.SG01NAC34B0101DD1,2000.03,48,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2001.03,54,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2002.03,44,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2003.03,52,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2004.03,62,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2005.03,68,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2006.03,76,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2007.03,94,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2008.03,107,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2009.03,116,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2010.03,111,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2011.03,141,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2012.03,152,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2013.03,170,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2014.03,174,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2015.03,168,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2016.03,173,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101DD1,2017.03,187,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Electricity, Gas, Water, and Waste services",,
RNAA.SG01NAC34B0101EE1,2000.03,150,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Construction,,
RNAA.SG01NAC34B0101EE1,2001.03,150,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Construction,,
RNAA.SG01NAC34B0101EE1,2002.03,159,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Construction,,
